Doc_i;ID_i;Doc_j;ID_j;Cosine Similarity
3691;155926;3701;156693;0,5107785
3692;155957;3693;155958;0,9897029
3721;159635;3742;163323;0,5056341
3729;161422;3730;161423;0,9280455
3733;161636;3817;178091;0,573796
3739;163219;3742;163323;0,5148647
3742;163323;3849;182446;0,5670431
3755;166599;3756;166600;0,9856614
3762;167262;3769;168898;0,6143654
3775;169242;4141;219124;0,5170351
3797;172599;4019;204221;0,5289468
3800;173477;3813;175194;0,7089245
3816;177911;4011;203601;0,5335887
3848;182248;4141;219124;0,6284112
3859;183794;3888;189558;0,5047789
3916;192779;3948;197540;0,5465931
3948;197540;4107;213883;0,5988194
3974;199452;4010;203553;0,5725683
3984;200278;4149;221339;0,7263205
4044;206437;4121;215991;0,5051481
4057;207120;4119;215743;0,5565153
4113;215125;4114;215126;0,6987244
4124;216311;4151;221802;0,5033271
