Title_i;ID_i;Doc_j;ID_j;Cosine Similarity
1245;6340;20;409;0.5188386
1252;6368;1122;5093;0.6271526
1263;6411;285;1870;0.563409
1263;6411;389;2560;0.7893023
1263;6411;598;4236;0.5021977
1263;6411;643;4973;0.771201
1264;6412;683;5803;0.6081662
1264;6412;708;6321;0.5146895
1265;6413;74;592;0.5395811
1265;6413;566;3861;0.6349245
1265;6413;645;4983;0.8371372
1265;6413;650;5034;0.6375545
1265;6413;692;5924;0.5661842
1265;6413;1101;4851;0.6897858
1266;6420;176;1076;0.5297948
