Title_i,ID_i,Doc_j,ID_j,Cosine Similarity
301,1966,1266,6420,0.5026634
303,1972,48,506,0.577638
303,1972,267,1735,0.5653992
303,1972,328,2193,0.5341366
303,1972,1068,4514,0.6412634
303,1972,1258,6379,0.5361735
309,2062,211,1363,0.6465685
309,2062,607,4469,0.5377166
315,2109,269,1755,0.5832509
323,2167,324,2168,0.8995633
324,2168,323,2167,0.8995633
327,2191,943,3280,0.6389452
328,2193,303,1972,0.5341366
328,2193,723,505,0.5437476
335,2224,338,2239,0.604647
338,2239,335,2224,0.604647
343,2264,356,2360,0.5252572
345,2289,354,2334,0.504063
352,2330,197,1232,0.549468
352,2330,1124,5105,0.61711
352,2330,1203,5850,0.5310781
354,2334,345,2289,0.504063
356,2360,343,2264,0.5252572
361,2390,95,691,0.5867705
366,2409,479,3197,0.6310039
368,2424,860,2425,0.5155954
370,2433,453,3040,0.5835841
370,2433,1119,5067,0.6919057
380,2513,201,1308,0.5394709
380,2513,780,1309,0.7033752
384,2523,714,7,0.5300649
384,2523,811,1635,0.5653769
387,2557,147,923,0.7537352
389,2560,744,808,0.5292854
389,2560,1263,6411,0.540012
406,2687,888,2688,0.5768291
408,2712,409,2713,0.5141647
409,2713,408,2712,0.5141647
410,2714,99,701,0.6202416
416,2747,1015,4023,0.5185763
421,2798,607,4469,0.5500458
428,2852,702,6092,0.5142055
437,2931,906,2932,0.6040555
452,3033,881,2624,0.7567213
453,3040,370,2433,0.5835841
453,3040,1119,5067,0.5128579
462,3079,877,2600,0.5225361
465,3096,242,1641,0.5016049
479,3197,366,2409,0.6310039
497,3296,987,3801,0.5112123
502,3324,553,3757,0.624874
506,3360,1059,4436,0.7606956
515,3406,516,3416,0.5382949
516,3416,515,3406,0.5382949
519,3424,293,1915,0.6233017
524,3459,1029,4152,0.6154552
529,3505,232,1562,0.5569922
530,3508,665,5310,0.6114244
534,3525,285,1870,0.5753372
534,3525,744,808,0.5476736
534,3525,1263,6411,0.6058017
535,3529,844,2087,0.562081
539,3579,572,3937,0.7097222
539,3579,636,4876,0.5212178
539,3579,673,5509,0.5146481
542,3582,62,549,0.8539592
545,3631,557,3773,0.561506
552,3739,212,1364,0.6436568
553,3757,502,3324,0.624874
556,3771,90,661,0.7293969
556,3771,139,870,0.6181077
556,3771,635,4870,0.7128996
556,3771,663,5263,0.5079468
556,3771,671,5481,0.5533533
556,3771,846,2115,0.5192558
556,3771,1083,4762,0.5499661
556,3771,1204,5862,0.6499318
556,3771,1213,5935,0.6264769
557,3773,545,3631,0.561506
562,3815,165,1016,0.5621944
562,3815,176,1076,0.6170965
562,3815,1266,6420,0.6808217
566,3861,74,592,0.5258485
566,3861,645,4983,0.5912631
566,3861,650,5034,0.5199934
566,3861,1265,6413,0.603869
567,3871,1205,5881,0.5111073
570,3933,898,2854,0.6106762
572,3937,539,3579,0.7097222
572,3937,636,4876,0.5385984
572,3937,673,5509,0.6068722
582,4055,583,4056,1
582,4055,1019,4054,0.9180303
583,4056,582,4055,1
583,4056,1019,4054,0.9180303
584,4058,585,4059,1
584,4058,1020,4057,0.9762437
585,4059,584,4058,1
585,4059,1020,4057,0.9762437
586,4061,70,570,0.5038652
586,4061,587,4062,0.9999999
586,4061,1021,4060,0.7193333
587,4062,70,570,0.5038652
587,4062,586,4061,0.9999999
587,4062,1021,4060,0.7193333
596,4185,136,850,0.6387776
598,4236,643,4973,0.617738
598,4236,653,5102,0.6338206
598,4236,1263,6411,0.5580194
599,4252,677,5601,0.741264
607,4469,309,2062,0.5377166
607,4469,421,2798,0.5500458
611,4527,1069,4533,0.5022655
612,4540,62,549,0.5207443
615,4573,1045,4312,0.6052922
625,4772,1087,4771,0.570509
628,4791,860,2425,0.5073254
629,4796,1146,5379,0.6713616
633,4828,1098,4827,0.7714404
635,4870,90,661,0.6508972
635,4870,556,3771,0.7128996
635,4870,1204,5862,0.5546301
635,4870,1213,5935,0.5492406
636,4876,539,3579,0.5212178
636,4876,572,3937,0.5385984
638,4915,1084,4763,0.5523751
643,4973,285,1870,0.536836
643,4973,598,4236,0.617738
643,4973,653,5102,0.6676582
643,4973,1263,6411,0.5810277
645,4983,74,592,0.6916434
645,4983,566,3861,0.5912631
645,4983,650,5034,0.8392192
645,4983,684,5804,0.5226262
645,4983,692,5924,0.6115659
645,4983,822,1834,0.5899125
645,4983,1101,4851,0.7201418
645,4983,1265,6413,0.8558701
650,5034,74,592,0.5954177
650,5034,566,3861,0.5199934
650,5034,645,4983,0.8392192
650,5034,692,5924,0.5510635
650,5034,1101,4851,0.5796013
650,5034,1265,6413,0.7168794
651,5042,661,5254,0.7617078
653,5102,598,4236,0.6338206
653,5102,643,4973,0.6676582
653,5102,1263,6411,0.5238402
661,5254,651,5042,0.7617078
663,5263,556,3771,0.5079468
665,5310,530,3508,0.6114244
671,5481,90,661,0.6283515
671,5481,556,3771,0.5533533
673,5509,539,3579,0.5146481
673,5509,572,3937,0.6068722
674,5517,761,1048,0.7065542
677,5601,599,4252,0.741264
678,5665,23,425,0.5101982
679,5703,761,1048,0.6310517
681,5775,682,5776,0.7723449
682,5776,681,5775,0.7723449
683,5803,1264,6412,0.5689195
684,5804,645,4983,0.5226262
684,5804,822,1834,0.6106359
684,5804,1265,6413,0.5099536
686,5822,1202,5823,0.8936412
687,5824,688,5825,0.6299325
688,5825,687,5824,0.6299325
692,5924,74,592,0.5281032
692,5924,645,4983,0.6115659
692,5924,650,5034,0.5510635
692,5924,822,1834,0.5175968
692,5924,1101,4851,0.5447749
692,5924,1265,6413,0.6556853
696,6021,699,6040,0.6542565
696,6021,700,6059,0.5535215
699,6040,696,6021,0.6542565
699,6040,700,6059,0.5389156
700,6059,696,6021,0.5535215
700,6059,699,6040,0.5389156
702,6092,428,2852,0.5142055
704,6125,966,3574,0.5396904
714,7,384,2523,0.5300649
714,7,811,1635,0.8200465
714,7,863,2430,0.5091134
720,499,158,994,0.7788191
723,505,328,2193,0.5437476
736,680,750,918,0.5684307
737,706,28,445,0.5523354
737,706,58,536,0.5627379
744,808,285,1870,0.795801
744,808,389,2560,0.5292854
744,808,534,3525,0.5476736
744,808,783,1330,0.5362438
744,808,833,1897,0.6030241
744,808,1220,6082,0.5399397
744,808,1263,6411,0.7560489
750,918,736,680,0.5684307
754,944,882,2629,0.5957148
761,1048,674,5517,0.7065542
761,1048,679,5703,0.6310517
764,1067,174,1068,0.8907781
769,1183,1205,5881,0.567851
776,1255,961,3513,0.5108716
777,1263,997,3924,0.506605
780,1309,201,1308,0.5511053
780,1309,380,2513,0.7033752
783,1330,285,1870,0.5015182
783,1330,744,808,0.5362438
792,1416,218,1417,0.6094918
795,1446,1252,6368,0.5174783
801,1522,802,1523,0.7272779
801,1522,803,1524,0.7472302
802,1523,801,1522,0.7272779
802,1523,803,1524,0.6244256
803,1524,801,1522,0.7472302
803,1524,802,1523,0.6244256
811,1635,384,2523,0.5653769
811,1635,714,7,0.8200465
819,1781,897,2838,0.566484
822,1834,645,4983,0.5899125
822,1834,684,5804,0.6106359
822,1834,692,5924,0.5175968
822,1834,907,2938,0.533925
822,1834,1101,4851,0.5729843
822,1834,1265,6413,0.5729897
830,1894,289,1880,0.5717929
830,1894,832,1896,0.6578215
831,1895,289,1880,0.6981806
831,1895,832,1896,0.583928
832,1896,289,1880,0.7688016
832,1896,830,1894,0.6578215
832,1896,831,1895,0.583928
833,1897,285,1870,0.5879261
833,1897,744,808,0.6030241
833,1897,1263,6411,0.5971617
835,1946,291,1902,0.7255007
835,1946,836,1952,0.5006821
836,1952,291,1902,0.5006618
836,1952,835,1946,0.5006821
844,2087,535,3529,0.562081
846,2115,556,3771,0.5192558
849,2160,1067,4504,0.5165436
860,2425,368,2424,0.5155954
860,2425,628,4791,0.5073254
863,2430,714,7,0.5091134
872,2539,1140,5273,0.5361255
877,2600,462,3079,0.5225361
881,2624,452,3033,0.7567213
882,2629,754,944,0.5957148
888,2688,406,2687,0.5768291
897,2838,819,1781,0.566484
898,2854,570,3933,0.6106762
900,2906,1080,4740,0.506093
906,2932,437,2931,0.6040555
907,2938,234,1588,0.5088305
907,2938,822,1834,0.533925
910,2995,177,1083,0.6910363
935,3210,936,3211,0.5731331
936,3211,935,3210,0.5731331
943,3280,327,2191,0.6389452
944,3309,1137,5198,0.5871512
951,3413,95,691,0.5112678
961,3513,776,1255,0.5108716
966,3574,704,6125,0.5396904
987,3801,497,3296,0.5112123
990,3833,191,1201,0.5037442
997,3924,777,1263,0.506605
1007,3986,1055,4369,0.5780303
1015,4023,416,2747,0.5185763
1019,4054,582,4055,0.9180303
1019,4054,583,4056,0.9180303
1020,4057,584,4058,0.9762437
1020,4057,585,4059,0.9762437
1021,4060,70,570,0.596014
1021,4060,150,954,0.5051539
1021,4060,586,4061,0.7193333
1021,4060,587,4062,0.7193333
1029,4152,524,3459,0.6154552
1031,4171,1032,4172,0.5291872
1032,4172,1031,4171,0.5291872
1045,4312,615,4573,0.6052922
1055,4369,1007,3986,0.5780303
1059,4436,506,3360,0.7606956
1067,4504,849,2160,0.5165436
1068,4514,48,506,0.5566321
1068,4514,267,1735,0.5156277
1068,4514,303,1972,0.6412634
1069,4533,611,4527,0.5022655
1080,4740,900,2906,0.506093
1080,4740,1199,5800,0.5674795
1082,4757,1223,6111,0.510564
1083,4762,556,3771,0.5499661
1084,4763,638,4915,0.5523751
1087,4771,625,4772,0.570509
1098,4827,633,4828,0.7714404
1101,4851,74,592,0.6505686
1101,4851,645,4983,0.7201418
1101,4851,650,5034,0.5796013
1101,4851,692,5924,0.5447749
1101,4851,822,1834,0.5729843
1101,4851,1265,6413,0.7966102
1119,5067,370,2433,0.6919057
1119,5067,453,3040,0.5128579
1122,5093,1252,6368,0.5825346
1124,5105,197,1232,0.5424884
1124,5105,352,2330,0.61711
1133,5146,233,1587,0.5222202
1137,5198,944,3309,0.5871512
1140,5273,872,2539,0.5361255
1146,5379,629,4796,0.6713616
1153,5440,1164,5496,0.554876
1164,5496,1153,5440,0.554876
1165,5530,1169,5566,0.5314144
1169,5566,1165,5530,0.5314144
1185,5733,132,833,0.5325982
1199,5800,1080,4740,0.5674795
1202,5823,686,5822,0.8936412
1203,5850,197,1232,0.5222192
1203,5850,352,2330,0.5310781
1204,5862,90,661,0.5853465
1204,5862,556,3771,0.6499318
1204,5862,635,4870,0.5546301
1204,5862,1213,5935,0.5598202
1205,5881,567,3871,0.5111073
1205,5881,769,1183,0.567851
1205,5881,1238,6330,0.5272306
1207,5894,1208,5895,0.5282974
1208,5895,1207,5894,0.5282974
1213,5935,90,661,0.5542333
1213,5935,556,3771,0.6264769
1213,5935,635,4870,0.5492406
1213,5935,1204,5862,0.5598202
1220,6082,744,808,0.5399397
1222,6107,21,420,0.6742277
1223,6111,1082,4757,0.510564
1238,6330,1205,5881,0.5272306
1252,6368,795,1446,0.5174783
1252,6368,1122,5093,0.5825346
1258,6379,303,1972,0.5361735
1263,6411,285,1870,0.8180722
1263,6411,389,2560,0.540012
1263,6411,534,3525,0.6058017
1263,6411,598,4236,0.5580194
1263,6411,643,4973,0.5810277
1263,6411,653,5102,0.5238402
1263,6411,744,808,0.7560489
1263,6411,833,1897,0.5971617
1264,6412,234,1588,0.5881506
1264,6412,683,5803,0.5689195
1265,6413,74,592,0.7874804
1265,6413,566,3861,0.603869
1265,6413,645,4983,0.8558701
1265,6413,650,5034,0.7168794
1265,6413,684,5804,0.5099536
1265,6413,692,5924,0.6556853
1265,6413,822,1834,0.5729897
1265,6413,1101,4851,0.7966102
1266,6420,165,1016,0.5469957
1266,6420,176,1076,0.6189094
1266,6420,301,1966,0.5026634
1266,6420,562,3815,0.6808217
