feature_id; dup_id; rank; sim
119995;103461;50;0.3387
120076;122690;4;0.3593
120250;133504;98;0.0653
120259;114929;1;0.5773
121204;128348;14;0.2057
121566;115670;1;0.4668
122223;159722;13;0.4167
122690;122861;7;0.3214
122916;92490;1;0.3429
123468;120075;17;0.4228
124026;50172;256;0.1337
124311;67221;3;0.5863
124541;85741;1;0.4900
125161;98870;30;0.2629
125522;174846;1;0.5284
125739;33162;1;0.6339
126995;119658;1;0.4611
127074;198422;1;0.5616
127810;122861;13;0.4772
128611;149013;2;0.4845
129760;129761;1;0.9526
129899;199683;1;0.5318
131025;202565;8;0.4666
131077;131184;2;0.4104
132483;125900;2;0.4079
134237;215401;1;0.5780
134325;135747;12;0.3541
134396;46813;2;0.2718
134561;135112;3;0.3785
134758;122861;1;0.7508
135584;117551;1;0.6166
135747;42157;6;0.6087
136017;145901;72;0.2063
136255;149071;1;0.6863
138453;143367;8;0.2961
139090;139203;6;0.2363
139440;151069;1;0.5795
139779;103701;1;0.7882
141416;125522;13;0.2066
143188;119658;41;0.2989
145390;103701;1;0.6564
145517;135747;3;0.4640
149707;43165;1;0.7821
150524;24357;2;0.4318
150682;143364;7;0.4019
151017;142336;39;0.2746
151223;103701;1;0.8113
151365;149136;5;0.3089
151593;202565;10;0.3758
152016;42157;20;0.2373
152132;130603;80;0.0819
152750;47737;4;0.4049
153210;96538;10;0.1908
153851;103701;1;0.7808
154125;42157;3;0.6446
155453;123344;25;0.2980
155617;154667;1;0.5312
155957;155958;1;0.9904
155958;155959;111;0.1436
156891;151069;1;0.6359
158137;153212;18;0.2158
158201;65215;11;0.3576
159596;42157;10;0.2214
159635;103701;80;0.2536
161422;161423;1;0.9579
161636;159722;2;0.6513
164165;153619;1;0.7170
164350;42157;2;0.4529
166447;83247;15;0.3112
166600;166599;1;0.9850
173804;218323;6;0.5133
174804;174805;1;0.3905
175194;173477;1;0.7734
176129;178091;2;0.6152
177911;203601;1;0.6370
178091;159722;2;0.6445
178292;84852;2;0.6537
178603;159722;1;0.3856
189484;83247;66;0.2612
194716;110686;1;0.6148
197452;55627;2;0.5070
198412;205758;1;0.5643
199123;137287;131;0.1692
200629;109549;1;0.7075
203616;202565;15;0.2027
203872;204345;50;0.3243
204065;145314;1;0.5129
204559;159722;6;0.3527
206587;129558;1;0.3854
209158;35582;136;0.2020
211617;205943;76;0.2799
212595;204345;1;0.6344
213883;214546;20;0.1848
215125;207958;5;0.3937
218842;59954;417;0.0496
219035;153625;2;0.5645
220078;159722;2;0.5177
228218;225542;10;0.2852
